danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_id
0.183,0.153,2,-18.542,0,0.0384,0.887,0.965,0.105,0.0391,180.487,audio_features,0bIL5bznf2gXJZLPiJAbxo,spotify:track:0bIL5bznf2gXJZLPiJAbxo,https://api.spotify.com/v1/tracks/0bIL5bznf2gXJZLPiJAbxo,https://api.spotify.com/v1/audio-analysis/0bIL5bznf2gXJZLPiJAbxo,181035,3,0bIL5bznf2gXJZLPiJAbxo
0.817,0.282,11,-12.185,1,0.0576,0.0225,0.872,0.0644,0.196,113.972,audio_features,6jInavnstNIC9tjcKPKcUI,spotify:track:6jInavnstNIC9tjcKPKcUI,https://api.spotify.com/v1/tracks/6jInavnstNIC9tjcKPKcUI,https://api.spotify.com/v1/audio-analysis/6jInavnstNIC9tjcKPKcUI,185500,4,6jInavnstNIC9tjcKPKcUI
0.502,0.42,0,-10.038,1,0.0497,0.233,0.705,0.461,0.146,81.941,audio_features,02zafVOvsZq3EEgY1FfbgQ,spotify:track:02zafVOvsZq3EEgY1FfbgQ,https://api.spotify.com/v1/tracks/02zafVOvsZq3EEgY1FfbgQ,https://api.spotify.com/v1/audio-analysis/02zafVOvsZq3EEgY1FfbgQ,156779,4,02zafVOvsZq3EEgY1FfbgQ
0.331,0.233,9,-19.701,1,0.0345,0.496,0.884,0.118,0.338,92.014,audio_features,38YVBQRdxGGJVysTLM09aB,spotify:track:38YVBQRdxGGJVysTLM09aB,https://api.spotify.com/v1/tracks/38YVBQRdxGGJVysTLM09aB,https://api.spotify.com/v1/audio-analysis/38YVBQRdxGGJVysTLM09aB,212695,4,38YVBQRdxGGJVysTLM09aB
0.113,0.473,9,-12.744,0,0.043,0.53,0.979,0.4,0.186,68.03,audio_features,5mZNvFTQ2Xy7hHkqKOoFz8,spotify:track:5mZNvFTQ2Xy7hHkqKOoFz8,https://api.spotify.com/v1/tracks/5mZNvFTQ2Xy7hHkqKOoFz8,https://api.spotify.com/v1/audio-analysis/5mZNvFTQ2Xy7hHkqKOoFz8,170394,4,5mZNvFTQ2Xy7hHkqKOoFz8
0.675,0.139,2,-12.299,1,0.0425,0.434,0.966,0.0882,0.156,85.017,audio_features,7w4zwYIZfJABMzeIbCCcCh,spotify:track:7w4zwYIZfJABMzeIbCCcCh,https://api.spotify.com/v1/tracks/7w4zwYIZfJABMzeIbCCcCh,https://api.spotify.com/v1/audio-analysis/7w4zwYIZfJABMzeIbCCcCh,142625,4,7w4zwYIZfJABMzeIbCCcCh
0.337,0.305,0,-13.404,0,0.0301,0.713,0.961,0.348,0.0911,70.06,audio_features,0VBtT45h0WN2m76mjuBz8i,spotify:track:0VBtT45h0WN2m76mjuBz8i,https://api.spotify.com/v1/tracks/0VBtT45h0WN2m76mjuBz8i,https://api.spotify.com/v1/audio-analysis/0VBtT45h0WN2m76mjuBz8i,81389,4,0VBtT45h0WN2m76mjuBz8i
0.445,0.457,10,-12.759,1,0.0825,0.749,0.00116,0.129,0.0639,52.235,audio_features,5FL7eUhAFgmV6FzrNYbdUO,spotify:track:5FL7eUhAFgmV6FzrNYbdUO,https://api.spotify.com/v1/tracks/5FL7eUhAFgmV6FzrNYbdUO,https://api.spotify.com/v1/audio-analysis/5FL7eUhAFgmV6FzrNYbdUO,115316,4,5FL7eUhAFgmV6FzrNYbdUO
0.605,0.327,9,-8.263,0,0.0314,0.888,0.845,0.141,0.0839,171.935,audio_features,6AHUn3ISwXly5nCl1c9qZJ,spotify:track:6AHUn3ISwXly5nCl1c9qZJ,https://api.spotify.com/v1/tracks/6AHUn3ISwXly5nCl1c9qZJ,https://api.spotify.com/v1/audio-analysis/6AHUn3ISwXly5nCl1c9qZJ,180726,4,6AHUn3ISwXly5nCl1c9qZJ
0.345,0.221,9,-15.915,0,0.0514,0.829,0.8,0.123,0.0592,70.475,audio_features,79NL7aaIlT58iAFnqk0azJ,spotify:track:79NL7aaIlT58iAFnqk0azJ,https://api.spotify.com/v1/tracks/79NL7aaIlT58iAFnqk0azJ,https://api.spotify.com/v1/audio-analysis/79NL7aaIlT58iAFnqk0azJ,195822,4,79NL7aaIlT58iAFnqk0azJ
0.544,0.543,1,-12.962,1,0.0452,0.874,0.13,0.112,0.0444,92.575,audio_features,5Y69oMuGeIxfP4tIcCv6EO,spotify:track:5Y69oMuGeIxfP4tIcCv6EO,https://api.spotify.com/v1/tracks/5Y69oMuGeIxfP4tIcCv6EO,https://api.spotify.com/v1/audio-analysis/5Y69oMuGeIxfP4tIcCv6EO,171628,4,5Y69oMuGeIxfP4tIcCv6EO
0.464,0.483,8,-12.171,1,0.103,0.68,0.0135,0.603,0.132,68.043,audio_features,6FivklnH17aY0ST7Wyx2zl,spotify:track:6FivklnH17aY0ST7Wyx2zl,https://api.spotify.com/v1/tracks/6FivklnH17aY0ST7Wyx2zl,https://api.spotify.com/v1/audio-analysis/6FivklnH17aY0ST7Wyx2zl,184976,4,6FivklnH17aY0ST7Wyx2zl
0.265,0.336,8,-21.801,1,0.0802,0.929,0.977,0.234,0.254,112.554,audio_features,0BRVlM53y3NEqKtM3oyo1a,spotify:track:0BRVlM53y3NEqKtM3oyo1a,https://api.spotify.com/v1/tracks/0BRVlM53y3NEqKtM3oyo1a,https://api.spotify.com/v1/audio-analysis/0BRVlM53y3NEqKtM3oyo1a,85405,1,0BRVlM53y3NEqKtM3oyo1a
0.452,0.24,2,-20.509,1,0.0595,0.238,0.874,0.282,0.131,102.048,audio_features,1clKbPcDdAyAhNE6DxHvdB,spotify:track:1clKbPcDdAyAhNE6DxHvdB,https://api.spotify.com/v1/tracks/1clKbPcDdAyAhNE6DxHvdB,https://api.spotify.com/v1/audio-analysis/1clKbPcDdAyAhNE6DxHvdB,131300,5,1clKbPcDdAyAhNE6DxHvdB
0.54,0.341,11,-16.123,1,0.0454,0.739,0.903,0.0872,0.622,126.041,audio_features,1YvJYujD7KG09TlMVmJoxv,spotify:track:1YvJYujD7KG09TlMVmJoxv,https://api.spotify.com/v1/tracks/1YvJYujD7KG09TlMVmJoxv,https://api.spotify.com/v1/audio-analysis/1YvJYujD7KG09TlMVmJoxv,213500,4,1YvJYujD7KG09TlMVmJoxv
0.817,0.348,6,-11.622,1,0.0462,0.671,0.0839,0.114,0.504,135.97,audio_features,6fanE3yCNrl6Arei2fa0S2,spotify:track:6fanE3yCNrl6Arei2fa0S2,https://api.spotify.com/v1/tracks/6fanE3yCNrl6Arei2fa0S2,https://api.spotify.com/v1/audio-analysis/6fanE3yCNrl6Arei2fa0S2,171555,4,6fanE3yCNrl6Arei2fa0S2
0.503,0.432,0,-11.791,1,0.0309,0.836,0.934,0.148,0.212,90.021,audio_features,1HKwhRFTEuVOrv5UulxsoL,spotify:track:1HKwhRFTEuVOrv5UulxsoL,https://api.spotify.com/v1/tracks/1HKwhRFTEuVOrv5UulxsoL,https://api.spotify.com/v1/audio-analysis/1HKwhRFTEuVOrv5UulxsoL,202695,4,1HKwhRFTEuVOrv5UulxsoL
0.723,0.231,11,-14.818,1,0.424,0.864,0.898,0.108,0.202,153.963,audio_features,2hfc0DJukQvc4nkqoxHSHJ,spotify:track:2hfc0DJukQvc4nkqoxHSHJ,https://api.spotify.com/v1/tracks/2hfc0DJukQvc4nkqoxHSHJ,https://api.spotify.com/v1/audio-analysis/2hfc0DJukQvc4nkqoxHSHJ,125193,4,2hfc0DJukQvc4nkqoxHSHJ
0.67,0.395,4,-16.845,1,0.0557,0.876,0.886,0.0881,0.128,93.044,audio_features,5a4VtJR72X69vBoXkJ67br,spotify:track:5a4VtJR72X69vBoXkJ67br,https://api.spotify.com/v1/tracks/5a4VtJR72X69vBoXkJ67br,https://api.spotify.com/v1/audio-analysis/5a4VtJR72X69vBoXkJ67br,140958,4,5a4VtJR72X69vBoXkJ67br
0.376,0.444,0,-9.666,1,0.0445,0.648,0.909,0.115,0.173,85.921,audio_features,1Tc5vjg3ZNpnplp0UgVEv9,spotify:track:1Tc5vjg3ZNpnplp0UgVEv9,https://api.spotify.com/v1/tracks/1Tc5vjg3ZNpnplp0UgVEv9,https://api.spotify.com/v1/audio-analysis/1Tc5vjg3ZNpnplp0UgVEv9,172828,4,1Tc5vjg3ZNpnplp0UgVEv9
0.719,0.309,1,-18.376,1,0.0861,0.695,0.852,0.113,0.754,143.984,audio_features,4IoLqzUSgIGCvaomEjnGQK,spotify:track:4IoLqzUSgIGCvaomEjnGQK,https://api.spotify.com/v1/tracks/4IoLqzUSgIGCvaomEjnGQK,https://api.spotify.com/v1/audio-analysis/4IoLqzUSgIGCvaomEjnGQK,133375,4,4IoLqzUSgIGCvaomEjnGQK
0.671,0.192,7,-11.224,1,0.0372,0.0432,0.902,0.157,0.503,77.98,audio_features,37WmN7f3nqBksata0tlydR,spotify:track:37WmN7f3nqBksata0tlydR,https://api.spotify.com/v1/tracks/37WmN7f3nqBksata0tlydR,https://api.spotify.com/v1/audio-analysis/37WmN7f3nqBksata0tlydR,142000,4,37WmN7f3nqBksata0tlydR
0.476,0.283,2,-13.004,1,0.0402,0.897,0.892,0.0841,0.252,118.248,audio_features,0TGuICmWUyrONdF55k50d0,spotify:track:0TGuICmWUyrONdF55k50d0,https://api.spotify.com/v1/tracks/0TGuICmWUyrONdF55k50d0,https://api.spotify.com/v1/audio-analysis/0TGuICmWUyrONdF55k50d0,208452,4,0TGuICmWUyrONdF55k50d0
0.643,0.0434,6,-24.906,0,0.0368,0.8,0.842,0.102,0.0398,102.996,audio_features,40npQtddMJzU9ZTeMWdvy1,spotify:track:40npQtddMJzU9ZTeMWdvy1,https://api.spotify.com/v1/tracks/40npQtddMJzU9ZTeMWdvy1,https://api.spotify.com/v1/audio-analysis/40npQtddMJzU9ZTeMWdvy1,279612,4,40npQtddMJzU9ZTeMWdvy1
